援例護主有功，定有好處獎賞？又要作弊了，買台彩是傻瓜？中選會主委『陳應鈐』轉任台彩董事長…民進黨的負責任原來是更多的利頭	0	0
傳送之106 年4 月中國廣東省汕頭市銀行強盜殺人案件影片，未詳加查證，即於臉書社團「記憶八德」發布「聽說發生在八德介壽路. . . 」	1	0
聽說鯉魚山有分屍案餒？還在現場喔…	0	0
注意了，注意了，高雄市政府突然採購9 台碎紙機！目的是什麼？市府公務人員請勇做吹哨者！	0	0
還真是奇怪，這個光頭蘇一直說韓先生講話江湖味開口就是酒味！但還沒有人看過一張韓先生不得體相片，是吧！以下另外這張相片，這個光頭佬熟門熟路，右手抹胸，左手摸臀的到底是誰呢？是誰呢？這個光頭佬雙手還一直在揩油！哎！言行不一的爛傢伙！	0	0
台灣悲哀（同志雜交），感染（愛滋病）非常高，難怪蔡英文硬要綠營通過同婚法、讓台灣成愛茲島、這樣中裕製藥才能大撈特撈、這也是蔡英文真正目的、但願大家自求多福了...	1	0
英國買138架最新型的F-35戰機才3619億。菜政府卻要花3900億買66架落後20年的F16戰機，原來美國是這樣支持台灣的，到底老美坑我們台灣呢？還是菜政府坑我們老百姓？菜政府害台灣百姓，大家群起抵抗這無能、貪腐、缺德……更多	0	0
臺灣買F-16V戰機的均價比英國買F35還貴，另外彈藥還要另外購買，大家覺得執政黨這樣亂搞，有天理嗎。	0	0
甲○○爆料：乙○○心中沒有下一代…	0	0
一個人一個黨，要倒要滅，必定要先瘋狂，老天爺也看不下，就用私菸走私讓綠鬼，全部一次滅亡。	0	0
殉職員警的會場，蘇不願意來就別來，拽什麼拽簽完名筆還用丟的	0	0
昨天9/8現場很多人的訊號都收不到，真的是被蓋台了。好可惡現場人山人海啊！但是現場電訊號發不出就有這些可惡的電信干擾！現場人多，但是有一些人是比我們忙碌下賤的！就是如照片中一是專打空拍機的槍、二是干擾訊息的專用的所以現場的line含電話都是它干擾過濾的對象..	1	0
英國向美國買138架最新型F-35戰機，只要3619億台幣。台灣菜政府向美國買66架落後20年的F-16V戰機，欲要花3900億台億。到底誰挺誰，誰坑誰，誰被坑，誰騙誰，誰被騙，台灣百姓要好好想一想	0	0
台灣是凱子？或是凱子爹呀？英國買最新F35，138架才3619億台幣。我們買F-16V（沒有F35戰機好），只有66架竟要3900億台幣。貴了3倍以上～天吖？這麼貴交予美國保護費嗎？太太太不合理	0	0
蔡英文：我就是日本人，我就要當臺灣總統怎麼啦	0	0
登革熱患者最低只要口服三西西巴拉刈，數小時內便可將病媒蚊叮咬的機率下降至趨近於零，且患者因登革熱死亡之機率也會大幅下降……	1	0
蔡英文堂弟蔡世能在桃園成立大日本帝國，希望重建日本政府	0	0
蔡英文堂弟蔡世能在桃園成立大日本帝國，希望重建日本政府	0	0
民進黨政府胡作非為，五鬼搬運掏空台灣！民進黨蔡政府不倒，台灣人民永遠不會好。民進黨蔡政府詐騙集團，很快就會把台灣給玩完了！	0	0
偉大的蔡英文到海地才四小時，就送45億。高雄滅登革熱要五千萬才給二千多萬！媽的！什麼蔡政府	0	0
蔡英文承認為李登輝墮胎多次	0	0
下台，不爽切腹了斷，乎死，海沒蓋去跳海，大走私菸，即捉關起來又禁見，重判刑期，知法犯法，判死刑，即槍斃才公平又公正	0	0
蔡政府支援香港暴力遊行10億、高雄登革熱防治零元	0	0
為什麼執意花3800億去買66架F-16V?根本就是盤子的行為啊…，英國買138架F35也不過3620億..等	0	0
發佈行政院長參加殉職員警公祭之影片及批評訊息	0	0
蔡英文拋棄國旗（人民血汗錢買的）	0	0
國一國三現在就開始教肛交教育、教保險套、國中在教可以自己變性動手術、高三教多元多P的同志教育	1	0
民進黨用NCC控制各大媒體功夫一流吧！連登革熱疫情消息都不敢播報還幫台南市政府隱匿疫情。要不是正義人士用LINE轉PO我看全國同胞都被蒙騙，真是可惡至極。	0	0
震撼！韓國瑜承認帶職參選總統是錯誤選擇	0	0
台幣改版需花費500億元，由全民買單	0	0
「我在機上超買37條香菸，大搖大擺提領直接出關」、「利用特全超買免稅香菸就是貪污」等	0	0
總統車隊又要換了，蔡英文換車換上癮，四年不到換三次車，老百姓的納稅錢真的很好花	0	0
剛剛日本電視播到台灣3天2夜才日幣20000，台幣5千多，離譜吧！政府在貼錢讓日本人玩嗎？上網查詢還真的有勒：每團補助10000元等…」	0	0
臺灣黑鮪魚及大目鮪不實交易價格，及臺灣與日本於中西部太平洋金槍魚類委員會北小委員會會議中，達成有關臺灣黑鮪魚捕撈配額與日本大目鮪捕撈配額交換之互惠協議後將致使臺灣損失約新台幣4億500萬	1	0
蔡英文過境紐約丹佛，免費招待千人宴	0	0
韓國瑜手按啤酒箱	0	0
韓國瑜選總統全國後援會(韓家軍)」網頁貼文發布假民調消息，貼文內容與圖表為「蘋果新聞網9/8新民調韓國瑜市長第一	0	0
澎湖現在正在關押異議人士」等文，內容提及「不知道他被關在哪裡，只知道他被抓了，是合法拘役還是非法監禁，我們無從查證，如果冼○○就這樣被失蹤了，我請各位鄉親替他討回公道」、「…許多不一樣的說詞，查不到判決書，又聽到他人在縣警局被關著…	1	0
大咖就蔡英文啊，進一堆菸自己賣	0	0
張忠謀2020年我支持蔡總統、支持蔡總統捍衛臺灣自由民主自由	0	0
選了民進黨所以國庫耗費4177萬！將迴廊屋頂琉璃由藍色換成綠色！…	0	0
有關政治評論性質內容	0	0
偉大大的蔡英文到海地才四小時、就送了四拾五億、高雄要滅登革熱五千萬才給二千多萬！媽的！什麼政府。	0	0
蔡英文帶她家的貓去看獸醫，沿途警員道路交通管制及隨扈維安人員，還不如他們家的那隻貓	0	0
已涉及公職人員加重洗錢防制法＋公職人員加重財產源不明罪，但綠蛆壓住調查局，不准他們依法叫陳明文去作筆錄，因為陳明文是腐敗民進黨的挺英大將。	0	0
今天香港會是明天的臺灣？為何不也是今天？癱瘓機場破壞地鐵攻擊公署…能發現現今處處拒馬隔絕之政府？從引進暴民開始…政府早已在預謀策動明年1.11敗選後的台灣變香港了	0	0
光光是小林村訴訟，高雄政府寧花1.3億的訴訟費，小林村被滅村，491人的生命，只要求3000萬國賠，竟然官司打10年，寧願給律師費1.3億，不願給小林村災民半毛錢!!!這，就是民黨!這，就是陳菊!!台灣人要覺醒!!	0	0
公開張貼發表經變造製作之總統蔡英文上吊圖片，並有「叛國賊的下場」	0	0
這是台灣小學的課文嗎？我眼睛看錯了嗎？	0	0
某車禍事故死者馮文雄生前曾遭人押走恐嚇，影射馮文雄死因不單純	0	0
巴拉刈是劇毒致癌農藥蔡政府決定再延用一年	0	0
偉大大的蔡英文到海地才四小時、就送了四拾五億、高雄要滅登革熱五千萬才給二千多萬！媽的！什麼政府。	0	0
虛偽之海峽兩岸旅遊交流協會公告之謠言	1	0
蔡英文，你的課本教學生少量吸毒再轟趴	1	0
