You can have 50 grams of drugs on campus before being considered drug trafficking	1
According to what my family heard when my family went to the National Taiwan University Hospital a few days ago, it was not difficult at all, but I was not allowed to verify it (sneer) (sneer)	0
Three employees such as Wang Huizhen, Chen Yijun, and Chen Meiyun were infected with severe infectious infectious infectious infectious pneumonia (COVID-19) and needed forced isolation.	1
Urgent sale 2009E350.6 million is good for any taxi due to urgent need to change to the light in Zhongshan District	1
YouTube film connection that claims Tsai Ing -wen's ticket	0
I just took the high -speed rail from Taipei to return to Kaohsiung from Taipei and met this Aber on the MRT. This Aber claimed to return from Wuhan on the phone. People who had a large volume to the carriage heard that they looked at him with white eyes.He got off at about 00:03 at Sandu Station ...	1
President Tsai Ing -wen's election vote	0
April 23 News Express ... Say 50,000 for each family.	0
careful!Twins votes, and the tickets are also prepared for twice the ticket box. One is allowed to vote for the people for leave.No matter how many votes are loaded into the incineration furnace, a voting office is burned.Then the media claims to pass the Korean votes to pass the Korean Korean!That's what it looks like!The same tricks as the 2020 election.The people must be careful.	0
In the Ministry of the Interior's Immigration Department of the North District Affairs Brigade (hereinafter referred to as the shelter), the shelters have a fever of 37.9 degrees, which is not hot enough. After 4 days, I have a doctor to see a doctor., During the nap period, you are not allowed to go to the toilet.	1
Tonghong's 30 million smoke asssted a day was lost, which was several million times more serious than losing a few masks. The epidemic must be closed to the city., I like to help Jin Yicong lick X's eyes. The owner likes to spray cigarettes while walking!It is convenient and handsome to throw smoke buttocks.	0
If you pull all Kaohsiung, I will pull all Taiwan, Tainan is still dead! Do you know?Tainan flooding is still dead	0
There is no boarding quarantine, no body temperature one by one, and no one leaves our way of contact, nothing.I spend less than 20 minutes to quickly customize the customs to enter the country	0
Not only a new camp, Tainan City is everywhere. It is said that the newly -changed police director was ordered to increase the income of the city government and cultivate some sneak shots.Tainan City is full of white terror.	0
I did n’t get it before the pre -order ... I ’m also closed after get off work, I still go to steam the mask obediently	0
Cai Wao's epidemic prevention, intending to spend 1. 50 billion yuan to save the economy. Each person is expected to issue a 1,000 yuan cool bumper coupon.Did you start to implement the five ghost handling methods?	0
I was a supervisor in Fengshan and found that almost all the election staff voted, which is equivalent to me alone. In ten hours, I have to deal with all the election staff who want to stop Korean. For ten hours, I don’t dare to drink water.I only went to the toilet once, ..., I deliberately approached the ticket, and found that there were too many flat tickets in the ticket box. Almost everyone was throwing into the ticket. Why was there so many flat tickets?The power is really too small. Why do I go to the toilet that time, so that they may have a chance to get ghosts. Why are the staff almost green? I really hate	1
I am in the monitoring, there are 100 people repeatedly voted 3 times, Each voting club is almost irrigated 5-600 votes, 1,000 votes, a total of 5-60000 votes	0
My aunt was from the welding cover. When I was working on the road on the road of the health and welfare department yesterday, I heard a few officials chatting and said that if there are more than 40 cases, the president will step down, so the real number is always pressed. In fact, the epidemic situation is actually the epidemic.It has been spread, and Kaohsiung, Tainan and other places have to transport several trucks every day to Taichung to be incinerated in Taichung, so you see that the air quality in central Taiwan has decreased again	1
The Bat Department must give each Health Insurance Pharmacy 500 yuan per day. I solemnly announced that as long as anyone personally go to [the gate of the manta department to spit a sputum with viruses, I will add $ 100] I will add $ 200 per person to pay you $ 700 and horse!Do not deduct taxes.... [Shu] Sleepy and cool leading 4.8 billion! Dogs officials from the upstream to downstream we will always be [difficult to make money by being found to be a country] for a long time to be slaughtered by the dog officials of the Fortune of the Fortune	0
If there are antibodies, then 80 % of I have determined that this pneumonia was sent out in Taiwan ...	0
I heard that our Meihua Lake has a sore throat from traveling from the United States. Please do n’t go. I heard that I do n’t know who to contact during the process.	0
Caopu Tunnel is not through, scammers govern the country, Repost ~ Isn't it the opening ceremony yesterday? The people are going to enter and exit today, but it is not unreasonable!One day after the opening ceremony, the Suzu car was finished after the opening, and the road was sealed again ~~ Do you really need to play like this? 	0
Captured tickets can not be lost	0
939090 tickets ÷ 1823 voting.÷ 8 hours = 64 people will vote for 8 consecutive hours within one hour and vote for 8 consecutive hours!Do you see such a person who hasn't stopped voting one after another?~~~ Kaohsiung's heavy rain yesterday was pouring, and it was necessary to keep a safe distance, so it should be possible to be a long queue?IntersectionMagic magic!	0
Hello everyone, my car was stolen 000-0000 in the parking lot of Sixin all the way. Please help if you see it.	0
Since the day Li Jinyong's election was elected, the election meeting was already the DPP. The presidential election has been successful and the dismissal vote is even more familiar.It's just a farce of a performance voting process, who will believe that the DPP's conscience will not find a vote anymore	0
Near the High School of Xihu High School, there are drug needles. I do n’t know that all supervision units and police units have no eyes? No one in the Xixi Town Office is well -maintained nearby?	0
Why do you want to buy toilet paper?	0
After receiving important information, please reserve food and daily necessities for about 1 month, and immediately go to the bank to submit all the deposits	1
After its aid, he will find online troops, two meals a day for 2,000 packages, settle once a week, watch performance, and be familiar with social media! There are multiple account numbers! Please contact me if you want to apply	0
The government is very fine, 3000 yuan-1000 yuan = 2000 yuan, and the deduction fee actually issued the government's distribution of less than 2000, but the surface is said to be issued 3000	0
Successful Han success. Almost one million votes. Very simple 939090 Except 1823 voting, each invoicing house was an average of 515. 515 photos were divided into 64 tickets.To vote for 64 tickets, and I still agree to remove the votes of South Korea ’s Yu. Then, for 8 consecutive hours of voting, all the votes are not interrupted! Excuse me, everyone saw such a person who had n’t stopped voting one by one.Is it verified within one minute, queuing, voting, no interruption. Such logic and behavior, do you, believe?	0
I have announced the suspension of classes. In fact, Wuhan pneumonia has been raging in Taiwan. The number of deaths is not only that. I really believe in me.	1
You look at the officials and brains.÷ 8 hours = 64 people, voted for an hour, and the voting for 8 consecutive hours is not intermittent!Do you see such a person who hasn't stopped voting one after another?... ...	0
The website of the Election Association is the Korean advertisement to authorize the use of the dismissal group	1
Tsai Ing -wen makes a ticket and must step down	0
However, the people already received the pseudo -three -twice voucher, and they were not rejected when they were replaced.When I got the Bank of Taiwan, Bank of Taiwan said it was a pseudo -coupon.Pseudo.Fake.	0
939090 votes ÷ 1823 voting.÷ 8 hours = 64 people to vote within one hour.Voting for 8 consecutive hours is not intermittent!Do you see such a person who hasn't stopped voting one after another?64 people in an hour, in other words, must complete one person voting in less than one minute!Prove the computer again.... The evil party, the evil Li Jinyong, is to humiliate Han with a number crossing 89.	0
